Geneid,PC3_Hypoxia_S2,PC3_Normoxia_S2,LNCAP_Normoxia_S1,LNCAP_Hypoxia_S2,PC3_Normoxia_S1,PC3_Hypoxia_S1,LNCAP_Normoxia_S2,LNCAP_Hypoxia_S1
ENSG00000007264,6,23,5,6,7,7,13,9
ENSG00000007306,0,0,0,0,0,0,0,0
ENSG00000007312,0,0,0,0,1,0,0,0
ENSG00000007314,1,3,2,1,2,2,0,0
ENSG00000007341,183,588,1423,996,225,554,1534,1006
ENSG00000007350,0,0,7,16,0,2,4,10
ENSG00000007372,81,301,0,2,123,280,3,0
ENSG00000007376,196,877,560,814,371,554,1019,632
ENSG00000007384,132,313,1040,1947,117,408,1351,1625
ENSG00000007392,31,117,2380,4511,35,115,2720,3983
ENSG00000007402,28,114,291,281,46,88,479,279
ENSG00000007516,33,76,220,293,42,77,269,298
ENSG00000007520,48,262,393,412,103,148,891,1458
ENSG00000007541,71,244,492,791,85,163,850,756
ENSG00000007545,14,24,385,590,8,32,521,473
ENSG00000007866,114,239,754,1400,78,288,1058,1223
ENSG00000007908,0,0,2,4,0,0,2,0
ENSG00000007923,322,895,2517,2919,367,924,3012,3514
ENSG00000007933,1,3,4,6,3,2,3,6
ENSG00000007944,103,423,721,1057,173,303,963,1014
ENSG00000007952,0,10,52,34,5,9,42,5
ENSG00000007968,27,120,361,342,36,59,333,253
ENSG00000008018,833,2185,9083,7852,893,2503,9263,5966
ENSG00000008056,7,15,4,3,3,41,6,11
ENSG00000008083,126,315,1358,2309,137,339,1691,1947
ENSG00000008086,750,1475,461,539,491,2228,464,468
ENSG00000008118,7,20,1,2,6,14,4,1
ENSG00000008128,0,1,54,95,0,1,90,123
ENSG00000008130,70,293,1867,2181,102,168,2050,1869
ENSG00000008196,0,1,1,0,1,0,2,1
ENSG00000008197,0,0,0,0,0,0,0,0
ENSG00000008226,1,4,29,30,0,3,24,11
ENSG00000008256,47,222,2083,1477,74,155,2225,1233
ENSG00000008277,131,425,1149,857,172,392,1303,699
ENSG00000008282,906,2089,6669,6652,747,2529,5933,5437
