Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR7179522	(1.0, 28.123354505076737)	(2.0, 8.988978095645097)	(3.0, 5.2214604073505955)	(4.0, 3.6098999064125574)	(5.0, 2.8070479368868524)	(6.0, 2.2149889034967414)	(7.0, 1.811568245997357)	(8.0, 1.633349945906806)	(9.0, 1.3990196997172926)	('>10', 18.60776736446581)	('>50', 6.065251886064109)	('>100', 10.290466807205835)	('>500', 3.107428978072722)	('>1k', 4.832425958079225)	('>5k', 0.8218804575604437)	('>10k+', 0.4651109020618524)
SRR7179523	(1.0, 28.43817707949346)	(2.0, 9.252843766832338)	(3.0, 5.256295122762137)	(4.0, 3.708880668593585)	(5.0, 2.8583965514781426)	(6.0, 2.322276273259386)	(7.0, 1.9345414984203475)	(8.0, 1.6069902379034353)	(9.0, 1.4527238991610747)	('>10', 18.55984228771006)	('>50', 5.867981890079537)	('>100', 9.899888306612015)	('>500', 2.960451413208114)	('>1k', 4.6572027220290995)	('>5k', 0.7680373272777278)	('>10k+', 0.45547095517960884)
SRR7179524	(1.0, 26.796529479138908)	(2.0, 8.938579637098238)	(3.0, 5.131929680034473)	(4.0, 3.630854559209519)	(5.0, 2.712803473023169)	(6.0, 2.267757114451367)	(7.0, 1.8531558945764446)	(8.0, 1.6303616515486785)	(9.0, 1.45381816830084)	('>10', 19.06096599151028)	('>50', 6.121398343668508)	('>100', 10.813361725753289)	('>500', 3.1992748177185106)	('>1k', 4.977154279141444)	('>5k', 0.7352416892239779)	('>10k+', 0.6768134956024495)
SRR7179525	(1.0, 26.749242544238115)	(2.0, 8.94668097353229)	(3.0, 5.087734258131832)	(4.0, 3.555169327497517)	(5.0, 2.79323665438136)	(6.0, 2.273423427117477)	(7.0, 1.980549269346899)	(8.0, 1.652989937678592)	(9.0, 1.429160937230999)	('>10', 19.11685499528522)	('>50', 6.140794714757799)	('>100', 10.844273270143212)	('>500', 3.1962469963477567)	('>1k', 4.835932227279209)	('>5k', 0.7993823788056017)	('>10k+', 0.5983280882262517)
SRR7179526	(1.0, 26.646017711641747)	(2.0, 8.742391124968806)	(3.0, 5.064774703131128)	(4.0, 3.49610268424993)	(5.0, 2.774769916467436)	(6.0, 2.270033595103665)	(7.0, 1.9260313650423233)	(8.0, 1.5774067915601722)	(9.0, 1.4429316521366504)	('>10', 19.0348004639361)	('>50', 6.215948922031824)	('>100', 11.024583047000998)	('>500', 3.234269464067327)	('>1k', 5.004480539913934)	('>5k', 0.8060098883998246)	('>10k+', 0.7394481303480867)
SRR7179527	(1.0, 27.126563274343056)	(2.0, 8.963156083445163)	(3.0, 5.175978803178995)	(4.0, 3.5873742527122623)	(5.0, 2.840403932084122)	(6.0, 2.2436582025081693)	(7.0, 1.9157532918698459)	(8.0, 1.5935347877858652)	(9.0, 1.4262912861406203)	('>10', 19.239253485457827)	('>50', 6.063213108117197)	('>100', 10.599666276846676)	('>500', 3.0612218898851484)	('>1k', 4.689540430848379)	('>5k', 0.7521020687227308)	('>10k+', 0.7222888260539709)
SRR7179536	(1.0, 12.231518920949721)	(2.0, 4.003663212746385)	(3.0, 2.086026464712372)	(4.0, 1.4049151223261411)	(5.0, 1.028764348297872)	(6.0, 0.8150575192576549)	(7.0, 0.6784931052823936)	(8.0, 0.5690764054602395)	(9.0, 0.5275878698965513)	('>10', 6.225509190049335)	('>50', 2.065557660580551)	('>100', 5.205182156111646)	('>500', 3.036317587125855)	('>1k', 11.023488241867732)	('>5k', 6.802867904699328)	('>10k+', 42.29597429063625)
SRR7179537	(1.0, 8.86217670555202)	(2.0, 3.0875767673662935)	(3.0, 1.7034084013641198)	(4.0, 1.1893983614615882)	(5.0, 0.9001202996852711)	(6.0, 0.755973677744783)	(7.0, 0.6175091586556101)	(8.0, 0.5443752367536671)	(9.0, 0.49589877591079967)	('>10', 6.553715079180495)	('>50', 2.241851966552973)	('>100', 4.553558528053797)	('>500', 2.1366340387069798)	('>1k', 7.3144452196023835)	('>5k', 4.823747714792399)	('>10k+', 54.21961006861685)
SRR7179540	(1.0, 10.745234324017597)	(2.0, 4.259134573174552)	(3.0, 2.2624623832946837)	(4.0, 1.5635648490434018)	(5.0, 1.2064092002536637)	(6.0, 1.006288946116544)	(7.0, 0.8256115259313888)	(8.0, 0.7192973432119483)	(9.0, 0.6438700638556797)	('>10', 8.776399548054073)	('>50', 3.0554832285472218)	('>100', 5.69816778390953)	('>500', 2.3796193521449527)	('>1k', 7.820361709871817)	('>5k', 4.4558814221258265)	('>10k+', 44.58221374644721)
SRR7179541	(1.0, 17.017119609486357)	(2.0, 4.628160602135622)	(3.0, 2.4206251706900646)	(4.0, 1.6769937545413758)	(5.0, 1.2917325803662025)	(6.0, 0.959306031308639)	(7.0, 0.8225402973146291)	(8.0, 0.6802925039313813)	(9.0, 0.6050987220843638)	('>10', 7.51727628715683)	('>50', 2.442883832102345)	('>100', 5.776252185828344)	('>500', 3.2259191964288023)	('>1k', 11.391933033812977)	('>5k', 7.604102010590272)	('>10k+', 31.939764182221857)
