"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000005812",1270.77980102512,0.622868074710787,0.135163724285512,6.79764095826383e-07,1.61555149129579e-05
"ENSG00000005844",4.19735339617758,0.0460493536518292,0.289083849663149,0.539415432493556,NA
"ENSG00000005882",694.222628374948,0.0941524835340482,0.150545074177073,0.467902054791687,0.669361565433363
"ENSG00000005884",3880.97302962655,0.632685828547017,0.115408656701415,7.43548483762786e-09,2.82648273257522e-07
"ENSG00000005889",2302.93588776464,0.551268104307119,0.169276122405193,0.000196503652779673,0.00215740437784656
"ENSG00000005893",4505.40243348178,0.12672322246682,0.112340971504051,0.219606157556676,0.42327500420019
"ENSG00000005961",24.3110277113286,0.099741625059944,0.261889197292132,0.468857278335205,0.669974887297283
"ENSG00000006007",3853.85292630581,1.2659796200031,0.249464001032869,1.4248764152072e-08,5.07665250279778e-07
"ENSG00000006015",280.631153681349,-0.62956702884894,0.200725647226384,0.00025298849190172,0.00265620882028468
"ENSG00000006016",24.4102366983909,0.0273386814178297,0.24562498029629,0.837762621823191,0.922064638518232
"ENSG00000006025",152.641975667872,0.932433616908054,0.735929327240158,0.00415962592084282,0.0248089796932355
"ENSG00000006042",780.868983181534,-0.180387064322441,0.127209356531903,0.114072425540577,0.276700778013294
"ENSG00000006047",44.9362702522342,0.064889761937077,0.246903228613456,0.641964599580811,0.798003654764268
"ENSG00000006062",466.673708040696,-0.244525210739395,0.113140358223929,0.0189382702930139,0.0777903800389438
"ENSG00000006071",79.9507446125511,-0.225861912361401,0.234966638386801,0.167896431555373,0.356901737247412
"ENSG00000006118",1209.52393787399,0.133519860341409,0.160725009274431,0.322429888199323,0.538194424477111
"ENSG00000006125",5576.34248696411,0.00587006718397334,0.0707547592005678,0.944632405552807,0.976355314665767
"ENSG00000006194",468.005812704449,-0.0432591221132953,0.127016279820407,0.706624112650533,0.841660477035272
"ENSG00000006210",2.36339575816183,0.010878278998407,0.284420956283835,0.882975248769488,NA
"ENSG00000006282",1602.91338362101,-0.0722329733705231,0.109845690425621,0.477093775432483,0.676281756368341
"ENSG00000006283",41.2495649300473,0.414166570027232,0.474166399759988,0.0356092899728449,0.123852269845279
"ENSG00000006327",2101.20184749811,0.124519702269036,0.217329306740585,0.400527209474197,0.612629468067987
"ENSG00000006432",2191.22589060479,0.449947148114169,0.0971097143891797,1.05699800239229e-06,2.38134743750484e-05
"ENSG00000006451",1583.27293184474,0.108641470992555,0.125598905036041,0.335547753537997,0.551137049731713
"ENSG00000006453",1132.30872528225,0.227834975784942,0.132670033695257,0.0534185637724033,0.164539894392856
"ENSG00000006459",493.024715158384,0.679391257230591,0.209289266109777,0.000145204224934328,0.00167938303130413
"ENSG00000006468",4680.78805896817,0.201853058940953,0.155100799612791,0.124930523334744,0.293485746734646
"ENSG00000006530",1364.14819056713,-0.37218610553689,0.0740627740146808,2.18896064700228e-07,5.83646335551959e-06
"ENSG00000006534",408.331722949569,-0.644225384664628,0.203145706679304,0.000217735681812191,0.00233876172692038
"ENSG00000006555",51.1351706864304,0.0157658430716732,0.233044860596323,0.912910141637772,0.961495336585154
"ENSG00000006576",964.184184081088,0.257382396714901,0.141565219569431,0.0385772485131027,0.131349881799257
"ENSG00000006606",116.24998443943,0.455605155631686,0.90060814736341,0.00518536215217056,0.0293356844902207
"ENSG00000006607",874.962476407691,0.322498307087273,0.131742165548385,0.00652776778681218,0.034819325604328
"ENSG00000006611",2.32981826061141,0.0347842763419106,0.291789274946728,0.490840906184458,NA
"ENSG00000006625",1314.41509601502,-0.585524791555618,0.202786284971013,0.000570646438288165,0.00515965828468197
"ENSG00000006634",1369.93262791207,-0.149461072332506,0.105986556878743,0.131791221556423,0.304286279080237
"ENSG00000006638",19.1143067850576,-0.0145166371308411,0.265977573563922,0.897920090174729,0.953078008302104
"ENSG00000006652",367.157765885353,0.151134591759978,0.125213225743238,0.182679689621192,0.377303107172948
"ENSG00000006695",710.430261761025,-0.463137085671873,0.0905868667595862,8.73821789158655e-08,2.54320893828951e-06
"ENSG00000006704",422.450972111942,0.162199096976618,0.20589678449647,0.28303321040724,0.495831075878694
"ENSG00000006712",1959.71516242261,-0.00424158232483457,0.120126440622812,0.969889971313661,0.988351110819731
"ENSG00000006715",1657.43662143979,-0.0330707469635197,0.097942123094233,0.715527108603131,0.848148897407558
"ENSG00000006740",382.303486450753,0.172433297168124,0.179235663316379,0.229137207581321,0.434766587486886
"ENSG00000006744",1150.41217250971,-0.372175652007604,0.108165631124846,0.000229781389764205,0.00244235767678317
"ENSG00000006747",25.7965894788473,-0.129119467531042,0.236009956438056,0.401891759933793,0.613728116205756
"ENSG00000006756",546.615097808422,0.0545489887877472,0.136034121762221,0.652398199528075,0.804469383948239
"ENSG00000006757",719.307943137378,-0.414580866705983,0.128425468446575,0.000397129755051284,0.00386564963481499
"ENSG00000006788",3.09400384826413,0.0301264825524934,0.290042890122384,0.628805408241271,NA
"ENSG00000006831",769.334813282991,0.0479131910051573,0.0916862976956813,0.581558851465767,0.757293147894912
"ENSG00000006837",20.3721173073357,-0.0873559252252326,0.250129810645193,0.539705586553277,0.727281609117035
"ENSG00000007047",186.206500563683,0.1983274827013,0.184183057785739,0.17458285092848,0.366193784852974
"ENSG00000007062",5.04075117885609,0.0312841963521973,0.286109434967922,0.644113427027559,NA
"ENSG00000007080",1156.84778698537,-0.302550729181854,0.127378679125651,0.00885419684904964,0.0438378633967062
"ENSG00000007168",3343.90498027852,0.453996302646783,0.100207928382832,1.7219987416807e-06,3.64540503649866e-05
