"ensembl_gene_id","hgnc_symbol","gene_biotype","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000267450","OR1AB1P","unprocessed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000293869","","lncRNA",2.23013626932319,1.47306866652813,0.544901465354334,0,7.5062569263777,10.3793277602692,0,6.62170915314178
"ENSG00000215477","RCN1P1","processed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000304796","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000279198","","TEC",2.78767033665398,1.96409155537084,1.08980293070867,2.63766758305049,1.25104282106295,0,5.81967777395671,3.31085457657089
"ENSG00000218313","","processed_pseudogene",0,0.49102288884271,0,0,8.75729974744064,0,0,4.41447276876119
"ENSG00000293889","","lncRNA",0,0.49102288884271,0,0,1.25104282106295,0,2.90983888697836,2.20723638438059
"ENSG00000267373","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000207604","MIR206","miRNA",0,0,0,0,0,0,0,0
"ENSG00000225613","LINCMD1","lncRNA",0,0,0,0,2.5020856421259,3.45977592008974,2.90983888697836,5.51809096095149
"ENSG00000272767","JMJD1C-AS1","lncRNA",5.01780660597717,2.45511444421355,0,1.75844505536699,20.0166851370072,13.839103680359,26.1885499828052,15.4506546906642
"ENSG00000267310","OR4G1P","transcribed_unprocessed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000199080","MIR133B","miRNA",0,0,0,0,0,0,0,0
"ENSG00000112115","IL17A","protein_coding",0,0,0,0,0,0,0,0
"ENSG00000268834","OR7A1P","transcribed_unprocessed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000293932","JMJD1C-AS2","lncRNA",0,0,0,0,3.75312846318885,0,2.90983888697836,0
"ENSG00000288966","","lncRNA",30.106839635863,31.4254648859334,39.2329055055121,43.521515120333,1.25104282106295,6.91955184017949,8.72951666093507,4.41447276876119
"ENSG00000293967","","lncRNA",0,0,1.08980293070867,2.19805631920874,0,0,0,0
"ENSG00000269313","MAGIX","protein_coding",64.1164177430416,64.323998438395,36.5083981787404,58.4682980909525,28.7739848844478,3.45977592008974,11.6393555479134,26.4868366125671
"ENSG00000304058","","lncRNA",0,0,0.544901465354334,0.439611263841748,5.0041712842518,6.91955184017949,0,4.41447276876119
"ENSG00000293977","","lncRNA",0,0.49102288884271,0.544901465354334,0.879222527683496,1.25104282106295,0,0,1.1036181921903
"ENSG00000283525","","transcribed_unprocessed_pseudogene",0,0,0,0,0,0,0,2.20723638438059
"ENSG00000304801","","lncRNA",0,0,0,0,2.5020856421259,3.45977592008974,8.72951666093507,1.1036181921903
"ENSG00000130612","CYP2G1P","transcribed_unprocessed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000304805","","lncRNA",0,0.49102288884271,3.269408792126,0.879222527683496,5.0041712842518,3.45977592008974,0,1.1036181921903
"ENSG00000299495","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000304818","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000293984","","lncRNA",0,0,0,0,1.25104282106295,0,0,2.20723638438059
"ENSG00000258717","","lncRNA",0,0,0,0,1.25104282106295,0,0,5.51809096095149
"ENSG00000248176","","lncRNA",0,0,1.08980293070867,0,0,0,0,0
"ENSG00000233829","RPL26P15","processed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000304072","","lncRNA",0,0,0,0,0,0,2.90983888697836,1.1036181921903
"ENSG00000304091","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000270996","","lncRNA",5.01780660597717,3.43716022189897,7.62862051496068,7.03378022146797,1.25104282106295,0,0,0
"ENSG00000218363","SLC25A20P1","processed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000290611","","lncRNA",0.557534067330796,0,0,0,0,0,0,1.1036181921903
"ENSG00000286474","","lncRNA",0,0.98204577768542,0,0,0,0,0,0
"ENSG00000289276","","lncRNA",0,0,0,0,3.75312846318885,0,5.81967777395671,3.31085457657089
"ENSG00000237162","RPS20P9","processed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000293985","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000299505","","lncRNA",1.11506813466159,0.98204577768542,1.08980293070867,1.31883379152524,1.25104282106295,0,0,1.1036181921903
"ENSG00000226700","MTND4P25","processed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000289461","","lncRNA",0,0.98204577768542,0,0,0,0,0,0
"ENSG00000112116","IL17F","protein_coding",0,0,0,0,0,0,0,1.1036181921903
"ENSG00000299569","","lncRNA",2.78767033665398,9.8204577768542,5.44901465354334,4.39611263841748,2.5020856421259,3.45977592008974,2.90983888697836,3.31085457657089
"ENSG00000285758","","lncRNA",1.11506813466159,1.47306866652813,1.634704396063,0.439611263841748,11.2593853895665,3.45977592008974,5.81967777395671,11.036181921903
"ENSG00000223739","RPS15AP15","processed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000294002","","lncRNA",0,0,0,0,0,0,0,0
"ENSG00000232403","RPL27P5","processed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000172148","OR7A2P","transcribed_unprocessed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000257757","OR6C7P","unprocessed_pseudogene",0,0,0,0,0,0,0,0
"ENSG00000290701","","lncRNA",0,0,0,0,0,0,0,0
