"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000150990",458.410476228962,-0.219626377512056,0.216130709282886,-1.01617386183004,0.309546601024495,0.560002424340461
"ENSG00000165209",1401.11633093258,-0.182869494713199,0.179969164904508,-1.01611570409981,0.309574291606168,0.560002424340461
"ENSG00000297271",41.9662237947801,0.601039556399268,0.591490113101748,1.01614472175611,0.309560475254071,0.560002424340461
"ENSG00000100632",5216.87903862896,0.101190441062677,0.0996148269111877,1.01581706459114,0.30971650831173,0.560193414785269
"ENSG00000178498",173.952136448539,-0.385230933384582,0.379277527462602,-1.01569670094036,0.30977383952493,0.560230843308777
"ENSG00000089289",798.366007109665,0.164489192105051,0.161986256590655,1.01545153006851,0.309890640177677,0.560309539902667
"ENSG00000236924",38.4107753461379,-0.63963961663108,0.629885143741588,-1.01548611359771,0.309874162646313,0.560309539902667
"ENSG00000159714",41.2548870938352,-0.615495330179694,0.606248618874903,-1.01525234205391,0.309985555774864,0.560414889259098
"ENSG00000124406",491.73556531592,0.194659006705884,0.191749760172366,1.01517209998543,0.310023797555143,0.560417766688224
"ENSG00000163082",63.7834868656302,0.471414371306331,0.464528398522743,1.01482357764452,0.310189932549213,0.560651803618205
"ENSG00000272636",46.8844535275341,-0.568931881304437,0.560684770725345,-1.0147089969439,0.31024456416299,0.560684272617454
"ENSG00000132692",50.5834362747917,-0.662334506885033,0.652956008299393,-1.01436314003767,0.310409505859024,0.560916066425235
"ENSG00000213015",410.697237003388,-0.243598651657452,0.240218228889142,-1.01407229910878,0.310548254830206,0.561100480279886
"ENSG00000115568",740.935118419654,0.173671740086878,0.171323622770291,1.01370574167542,0.310723183517795,0.561350212567416
"ENSG00000146707",169.720490274208,-0.488218491980573,0.482010870554591,-1.0128785921754,0.311118155010899,0.561997366600314
"ENSG00000146776",324.112047355283,-0.229094627325356,0.226237141240284,-1.01263049059676,0.311236690336262,0.562145078187076
"ENSG00000014138",254.633697999079,-0.250416548742358,0.24743704266788,-1.01204147140765,0.311518224932816,0.562508167345627
"ENSG00000106479",258.947350985191,-0.370854138240056,0.366474615758664,-1.01195041155122,0.311561763964146,0.562508167345627
"ENSG00000109332",4645.41033354208,0.119937066930395,0.11854437796569,1.01174824979982,0.3116584391964,0.562508167345627
"ENSG00000204580",1968.35807238123,-0.135321667786363,0.133744163538576,-1.01179493897939,0.3116361103321,0.562508167345627
"ENSG00000228109",39.0103217802001,-0.720993766279534,0.712565354243049,-1.01182826527602,0.311620172844225,0.562508167345627
"ENSG00000238084",37.7738351340868,-0.675536755819888,0.667643320627178,-1.01182283256469,0.311622770869141,0.562508167345627
"ENSG00000023734",5076.21628769495,-0.116897268893455,0.115626660222115,-1.01098889018241,0.312021747183967,0.56255313083277
"ENSG00000062370",151.866777596591,0.325866041451467,0.322273658240211,1.01114699609913,0.311946079995717,0.56255313083277
"ENSG00000063587",821.621809459436,-0.160706635101512,0.159017888068843,-1.01061985574817,0.312198408753312,0.56255313083277
"ENSG00000121775",205.925249943205,0.284101729463168,0.281094481329035,1.01069835352126,0.312160825333503,0.56255313083277
"ENSG00000124664",770.631477797611,-0.210891502493399,0.208518867791036,-1.01137851326116,0.311835301079125,0.56255313083277
"ENSG00000166450",147.240497201484,-0.332617704642825,0.329060613993039,-1.01080983411118,0.312107455417176,0.56255313083277
"ENSG00000185829",31.3116526269432,-0.928879986285704,0.918959227442267,-1.01079564636513,0.312114247286406,0.56255313083277
"ENSG00000251867",44.405547776456,-0.75778779615606,0.749380654877851,-1.01121878610488,0.311911726337943,0.56255313083277
"ENSG00000259426",38.4082719664274,-0.663576742528655,0.656487936912546,-1.01079807444665,0.312113084923468,0.56255313083277
"ENSG00000262879",748.154837432777,-0.214817164706714,0.212449107839007,-1.01114646651988,0.311946333424439,0.56255313083277
"ENSG00000267278",148.934855259532,-0.330860240451961,0.327378604562298,-1.01063489134947,0.312191209728222,0.56255313083277
"ENSG00000272825",66.9959850645791,-0.477045715018016,0.471698309720389,-1.01133649450811,0.311855404754786,0.56255313083277
"ENSG00000279789",58.1735587196305,-0.533220408555002,0.527172735958644,-1.01147189940572,0.311790623974822,0.56255313083277
"ENSG00000289303",46.5324065367796,-0.553704864866063,0.547709383899372,-1.01094646384184,0.312042053870843,0.56255313083277
"ENSG00000104320",3788.94652903411,-0.125735903118259,0.124441203287444,-1.01040410890133,0.31230172009142,0.562672982434064
"ENSG00000197008",510.166494450778,0.212875707527404,0.210732061095964,1.0101723791828,0.312412709986915,0.562806638596833
"ENSG00000170558",1420.99264656661,0.141298869908954,0.139889385593248,1.01007570595673,0.31245902053912,0.562820847097372
"ENSG00000272221",75.984765509322,0.482014049774381,0.477240569970004,1.01000225065668,0.312494211749178,0.562820847097372
"ENSG00000223745",252.136480935916,0.29207225090045,0.289244698104082,1.00977564261299,0.312602792337892,0.562950099827901
"ENSG00000269821",335.236059070352,-0.234707960837025,0.232501107785651,-1.00949179585591,0.312738834251793,0.563128769965163
"ENSG00000117528",1516.57273876651,0.166948517894568,0.165534158549688,1.0085442144224,0.313193272873888,0.563839081087806
"ENSG00000151806",1475.07816512968,-0.144914934748213,0.143691334060557,-1.00851548004377,0.313207060019608,0.563839081087806
"ENSG00000184602",583.351121214411,-0.205531037004165,0.20385622559192,-1.00821565006112,0.313350946359346,0.563905679110638
"ENSG00000255650",33.1532843777844,-0.701281160853913,0.69546645389654,-1.00836087337469,0.313281249260792,0.563905679110638
"ENSG00000304541",37.8830034766339,-1.04894735619656,1.04040784305766,-1.00820785156118,0.313354689386115,0.563905679110638
"ENSG00000135423",35.15116542286,-1.52741437314276,1.51574568875144,-1.00769831276969,0.313599315242312,0.564279492747728
"ENSG00000065485",701.058399868632,0.182171684635136,0.1808406397507,1.007360319485,0.313761652663105,0.564424168105086
"ENSG00000105171",526.781690156609,-0.245256948168722,0.243479459713434,-1.00730036306709,0.313790455369913,0.564424168105086
"ENSG00000256196",32.9530382701641,0.703311677201081,0.698168529906697,1.00736662721689,0.313758622567328,0.564424168105086
"ENSG00000105519",47.7689594563051,-0.679584592778897,0.674851603323171,-1.00701337810034,0.313928345333277,0.564605778462849
"ENSG00000089248",5461.02799868499,-0.113946708527449,0.113200636931978,-1.0065907013926,0.314131504770612,0.564904720621831
"ENSG00000184983",2020.81592693511,0.116627830325879,0.115880148365582,1.00645220057829,0.314198093952938,0.56495802617996
"ENSG00000154518",2817.32929946371,-0.112840548422118,0.112131198982398,-1.0063260666626,0.31425874538632,0.565000643821542
"ENSG00000007255",89.4804968526665,-0.454499249896424,0.451756250384318,-1.0060718573562,0.314381005204865,0.565154003125745
"ENSG00000073578",189.12107791298,-0.302918519692365,0.301129919613926,-1.0059396292495,0.314444611559551,0.565201899066309
"ENSG00000141556",950.569370631673,-0.186292739267187,0.185302915001942,-1.00534165512309,0.314732363727885,0.565652629732381
"ENSG00000007520",320.138870716625,-0.743384512870745,0.739738137649924,-1.00492927839628,0.314930905062084,0.565854187402018
"ENSG00000102078",290.2404967877,0.233930205382831,0.232915549162605,1.00435632667666,0.31520689282331,0.565854187402018
"ENSG00000107672",609.82082321539,-0.179156565787449,0.178395957003723,-1.00426359877489,0.315251574290615,0.565854187402018
"ENSG00000143401",1905.78207506164,0.151497001616889,0.150773489256526,1.00479867093301,0.314993803995378,0.565854187402018
"ENSG00000154174",5398.86722623846,-0.10175903303323,0.101294850777511,-1.00458248619901,0.315097934020542,0.565854187402018
"ENSG00000165632",265.174217040446,-0.2665521197684,0.265357458696394,-1.00450208212678,0.31513666814078,0.565854187402018
"ENSG00000167775",970.054339587083,-0.161004479721611,0.160201997087085,-1.00500919245152,0.314892423515651,0.565854187402018
"ENSG00000170289",32.7785318973186,1.10651467838275,1.10138209776918,1.00466012714749,0.315060533985661,0.565854187402018
"ENSG00000181038",402.599041260359,0.202653358215402,0.201677781444638,1.00483730415803,0.314975197853934,0.565854187402018
"ENSG00000250218",52.6486405078106,-1.13627886346226,1.13144507577242,-1.00427222477992,0.315247417625451,0.565854187402018
"ENSG00000260917",48.4485515359968,0.6145000740985,0.611841912540247,1.00434452348519,0.315212580027189,0.565854187402018
"ENSG00000172465",576.507318803041,-0.229320653239404,0.228389237569572,-1.00407819422554,0.315340925005591,0.565881713913917
"ENSG00000173511",202.29342988928,0.319296508121244,0.317992564723064,1.00410054681409,0.315330151897379,0.565881713913917
"ENSG00000279873",69.1806663025207,0.468103611996533,0.466287494158764,1.00389484569181,0.315429301238818,0.565973884679978
"ENSG00000057757",794.185081751792,0.166119561807737,0.16551098076071,1.00367698290609,0.315534334913273,0.566029506705637
"ENSG00000196268",280.540734281904,-0.491029746934747,0.489206863334761,-1.00372620201516,0.315510603914757,0.566029506705637
"ENSG00000163683",891.341491009989,0.187677873242178,0.187047824944123,1.00336838077772,0.31568315418044,0.566230042295965
"ENSG00000197070",371.074046573917,-0.259763911209538,0.25897054325414,-1.00306354516397,0.315830202343528,0.566360926942053
"ENSG00000275437",55.1199766277852,-0.531313219932901,0.529660031670715,-1.00312122524513,0.315802374881366,0.566360926942053
"ENSG00000128654",1078.68238234193,-0.138079736613855,0.137679258240535,-1.00290877782491,0.315904877016014,0.566428409293137
"ENSG00000135272",442.411062393943,-0.202989226599558,0.202491241847243,-1.0024592903267,0.316121818802428,0.566726398576318
"ENSG00000235174",79.3544657244449,0.471700542767277,0.47063243704329,1.00226951149117,0.316213443496554,0.566726398576318
"ENSG00000247011",35.421556684102,-0.75106474298623,0.74937315335761,-1.00225733951242,0.316219320688846,0.566726398576318
"ENSG00000259583",165.245180869442,-1.58997390636752,1.58628722424229,-1.00232409494882,0.316187088969371,0.566726398576318
"ENSG00000143819",1588.47968421169,0.158272196203417,0.157958876381127,1.00198355312134,0.316351536320202,0.566767549891358
"ENSG00000197442",421.301400748804,-0.254093284183654,0.253589711847041,-1.00198577589345,0.316350462763531,0.566767549891358
"ENSG00000232855",65.0097475009129,1.01861590229157,1.01660350303265,1.00197953209183,0.316353478407085,0.566767549891358
"ENSG00000134697",2070.92769528423,-0.133303628031684,0.133103785779472,-1.00150140171478,0.316584462793399,0.567114927433677
"ENSG00000143799",8315.73742849634,-0.110226446408886,0.11014394207058,-1.00074905924698,0.316948142812798,0.56757877195481
"ENSG00000173409",560.109202917304,-0.203817911614321,0.20368375827745,-1.00065863541602,0.316991871852336,0.56757877195481
"ENSG00000196689",53.1249216047994,-0.60873829285992,0.608293722916983,-1.00073084749388,0.316956949713462,0.56757877195481
"ENSG00000285600",40.8255166895754,-0.938381929851775,0.937739998784171,-1.00068455122788,0.316979338539736,0.56757877195481
"ENSG00000120699",1595.43390288081,-0.12328235282394,0.123225825061609,-1.00045873308053,0.317088558830561,0.567629840762055
"ENSG00000157873",37.0507013877762,-0.618921749130265,0.618645729857105,-1.0004461669415,0.317094637354619,0.567629840762055
"ENSG00000163029",1325.75165788251,0.155690791866343,0.155651903423852,1.00024984238313,0.317189613882097,0.567733394108761
"ENSG00000005007",1205.13699511138,0.160092798246543,0.160104230215334,0.999928596709938,0.317345064108244,0.567745802653464
"ENSG00000106080",516.373139540155,0.213322936394398,0.213330940434719,0.999962480640152,0.317328665376909,0.567745802653464
"ENSG00000157510",129.491616872522,0.33579152381419,0.335788898133353,1.00000781943909,0.317306723727024,0.567745802653464
"ENSG00000227354",68.0109128716949,0.525743813876751,0.525666823574564,1.00014646216716,0.317239633940061,0.567745802653464
"ENSG00000161091",575.453319624268,0.200571192652735,0.200668079408,0.999517179037387,0.317544221346452,0.567988919059538
"ENSG00000269352",61.0470539978366,-0.591516482125268,0.591815698820297,-0.999494408993162,0.317555246160486,0.567988919059538
"ENSG00000239382",93.1826028649589,-0.472094458570718,0.472382496558748,-0.999390244155684,0.317605683955011,0.568012691620594
"ENSG00000223573",31.1565207592334,0.671754193466153,0.672287712488196,0.999206412653195,0.317694710061985,0.568105462701182
"ENSG00000231789",40.1450260278802,-0.638345287844454,0.638907367194789,-0.999120249070217,0.317736443078715,0.568113651907932
"ENSG00000115484",5761.46263800347,-0.105294507288762,0.105402613951893,-0.998974345520689,0.317807119123044,0.568173583363786
"ENSG00000049323",2439.30482016117,0.140105993865935,0.140261529263431,0.998891104365449,0.317847445962257,0.568179249030731
"ENSG00000070526",1011.73284678556,0.290791791183459,0.291227742891171,0.998503055706906,0.318035483471256,0.56844892785026
"ENSG00000153044",252.681267871437,-0.311274398916429,0.311769654137873,-0.998411470728881,0.318079873614997,0.56846182181474
"ENSG00000047365",308.771457783915,-0.261228550748221,0.261741925316307,-0.998038623092326,0.318260630306353,0.568585500410613
"ENSG00000083896",1855.96680997284,0.14969614610891,0.149973765741064,0.998148878700336,0.318207171335545,0.568585500410613
"ENSG00000128059",1566.39014076946,-0.138208976782876,0.138475700906661,-0.998073856120327,0.318243546441251,0.568585500410613
"ENSG00000149499",283.335813818745,-0.250330167350183,0.250947339178974,-0.997540632107078,0.318502161480869,0.568950531682707
"ENSG00000142235",105.775280566959,-0.433013284723795,0.434174394682758,-0.997325706045352,0.318606440090297,0.569015369314173
"ENSG00000273142",124.253903558639,-0.558319405072918,0.559823972031453,-0.99731242848877,0.318612882876722,0.569015369314173
"ENSG00000149260",451.342250170634,0.198070568888687,0.198745422903229,0.996604429904932,0.318956554867022,0.569520064690648
"ENSG00000233006",172.618382181093,-0.412602128966545,0.414019399985902,-0.996576800460546,0.318969971487196,0.569520064690648
"ENSG00000102531",1626.70480754607,-0.129525920637511,0.130004715967836,-0.996317092601134,0.319096101442955,0.569590630350668
"ENSG00000179862",69.3141574810824,-0.497026308757508,0.498834137443598,-0.996375892204662,0.31906754191546,0.569590630350668
"ENSG00000188610",313.729477481334,-0.229115584559526,0.229974462724172,-0.996265332443996,0.319121243228969,0.569590630350668
"ENSG00000258839",52.5089195289041,-0.650443299563367,0.65302529864001,-0.996046096403891,0.319227748502617,0.569714227632297
"ENSG00000083457",280.917567625305,-0.267882455714667,0.269227714740185,-0.995003266930316,0.31973467544563,0.570552330754946
"ENSG00000114446",1443.37580291805,-0.180901322224275,0.181831119342228,-0.994886479710865,0.319791479325944,0.57058710739475
"ENSG00000173226",1027.28035923541,-0.148165260389038,0.149005175026707,-0.994363184785239,0.320046084646912,0.570952265898226
"ENSG00000234444",313.644219801078,0.377907418945949,0.380088692951415,0.994261144711967,0.320095746938184,0.570952265898226
"ENSG00000272942",37.8954386165346,1.6406159774678,1.65012788426001,0.994235654773831,0.320108153524654,0.570952265898226
"ENSG00000144810",344.752495316039,0.222626550272824,0.223935774994075,0.99415357049902,0.320148108118064,0.570956930398101
"ENSG00000160606",265.32021400669,-0.291171986622293,0.29292989605772,-0.993998873248906,0.320223416004413,0.57097866793253
"ENSG00000198780",497.060925751197,-0.247708702412201,0.249210162811745,-0.993975123716448,0.320234978496461,0.57097866793253
"ENSG00000106348",1207.28465215983,-0.152892456019897,0.153846987223735,-0.993795580784112,0.320322398047812,0.571067947831304
"ENSG00000128487",1439.83312579104,0.139008152985437,0.139928403679332,0.993423417478531,0.32050365424424,0.571324478555453
"ENSG00000285219",77.2790361978973,0.499677172525853,0.503228625249566,0.99294266552911,0.32073789601953,0.571675389676492
"ENSG00000290833",42.5010437451299,-0.680591173176879,0.685550761173772,-0.992765542279609,0.320824225817896,0.571762615032803
"ENSG00000139194",41.848875671422,0.933595309301179,0.940654799762369,0.992495131622171,0.320956053141461,0.571930894835809
"ENSG00000124920",354.394704263887,0.205680878546258,0.207280288779285,0.992283828614642,0.321059089648754,0.572017351032236
"ENSG00000138785",287.094401763363,-0.346839290704944,0.349578058486288,-0.992165504341996,0.321116796891028,0.572017351032236
"ENSG00000196998",273.134824637385,0.265817621804653,0.26789929732997,0.992229634246658,0.321085519627598,0.572017351032236
"ENSG00000115525",199.573713484777,0.273820765939076,0.276068765700723,0.99185710213924,0.321267237776371,0.572218675927605
"ENSG00000271732",30.8048924630023,-0.896082802543275,0.903590746394965,-0.991690990770275,0.321348287207429,0.572296373129372
"ENSG00000089123",253.845847755097,0.245168154401538,0.2472634935579,0.991525885498858,0.32142885897252,0.572311568494595
"ENSG00000134222",878.166838832952,-0.148967620016636,0.150275747615136,-0.991295151617877,0.321541479753584,0.572311568494595
